Spieltag,Ergebnisse
1,"[['1. FC Köln', 'Hamburger SV', '1', '2'], ['Karlsruher SC', '1. FC Nürnberg', '3', '2'], ['Hannover 96', 'Jahn Regensburg', '2', '0'], ['Hertha BSC', 'SC Paderborn 07', '1', '2'], ['1. FC Magdeburg', 'SV Elversberg', '0', '0'], ['FC Schalke 04', 'Eintracht Braunschweig', '5', '1'], ['SV Darmstadt 98', 'Fortuna Düsseldorf', '0', '2'], ['SpVgg Greuther Fürth', 'Preußen Münster', '3', '1'], ['SSV Ulm 1846 Fußball', '1. FC Kaiserslautern', '1', '2']]"
2,"[['1. FC Kaiserslautern', 'SpVgg Greuther Fürth', '2', '2'], ['Jahn Regensburg', 'SSV Ulm 1846 Fußball', '1', '0'], ['Fortuna Düsseldorf', 'Karlsruher SC', '0', '0'], ['SV Elversberg', '1. FC Köln', '2', '2'], ['1. FC Nürnberg', 'FC Schalke 04', '3', '1'], ['Hamburger SV', 'Hertha BSC', '1', '1'], ['SC Paderborn 07', 'SV Darmstadt 98', '3', '1'], ['Eintracht Braunschweig', '1. FC Magdeburg', '1', '3'], ['Preußen Münster', 'Hannover 96', '0', '0']]"
3,"[['Karlsruher SC', 'SV Elversberg', '3', '2'], ['Hannover 96', 'Hamburger SV', '1', '0'], ['SpVgg Greuther Fürth', 'SC Paderborn 07', '1', '1'], ['Hertha BSC', 'Jahn Regensburg', '2', '0'], ['Preußen Münster', '1. FC Kaiserslautern', '0', '1'], ['1. FC Köln', 'Eintracht Braunschweig', '5', '0'], ['SV Darmstadt 98', '1. FC Nürnberg', '1', '1'], ['1. FC Magdeburg', 'FC Schalke 04', '2', '2'], ['SSV Ulm 1846 Fußball', 'Fortuna Düsseldorf', '1', '2']]"
4,"[['Fortuna Düsseldorf', 'Hannover 96', '1', '0'], ['Jahn Regensburg', 'SpVgg Greuther Fürth', '0', '4'], ['Hamburger SV', 'Preußen Münster', '4', '1'], ['SV Elversberg', 'SV Darmstadt 98', '4', '0'], ['1. FC Nürnberg', '1. FC Magdeburg', '0', '4'], ['1. FC Kaiserslautern', 'Hertha BSC', '3', '4'], ['SC Paderborn 07', 'SSV Ulm 1846 Fußball', '0', '0'], ['FC Schalke 04', '1. FC Köln', '1', '3'], ['Eintracht Braunschweig', 'Karlsruher SC', '1', '2']]"
5,"[['Karlsruher SC', 'FC Schalke 04', '2', '0'], ['Preußen Münster', 'SC Paderborn 07', '3', '3'], ['SV Darmstadt 98', 'Eintracht Braunschweig', '1', '1'], ['Hannover 96', '1. FC Kaiserslautern', '3', '1'], ['SSV Ulm 1846 Fußball', '1. FC Nürnberg', '1', '2'], ['1. FC Köln', '1. FC Magdeburg', '1', '2'], ['Hamburger SV', 'Jahn Regensburg', '5', '0'], ['SpVgg Greuther Fürth', 'SV Elversberg', '0', '0'], ['Hertha BSC', 'Fortuna Düsseldorf', '0', '2']]"
6,"[['SC Paderborn 07', 'Hannover 96', '2', '1'], ['FC Schalke 04', 'SV Darmstadt 98', '3', '5'], ['Fortuna Düsseldorf', '1. FC Köln', '2', '2'], ['1. FC Nürnberg', 'Hertha BSC', '0', '2'], ['Eintracht Braunschweig', 'SpVgg Greuther Fürth', '2', '0'], ['1. FC Kaiserslautern', 'Hamburger SV', '2', '2'], ['SV Elversberg', 'SSV Ulm 1846 Fußball', '1', '3'], ['1. FC Magdeburg', 'Karlsruher SC', '2', '2'], ['Jahn Regensburg', 'Preußen Münster', '0', '3']]"
7,"[['SpVgg Greuther Fürth', 'Fortuna Düsseldorf', '1', '2'], ['SSV Ulm 1846 Fußball', 'Eintracht Braunschweig', '3', '1'], ['SV Darmstadt 98', '1. FC Magdeburg', '1', '2'], ['Hamburger SV', 'SC Paderborn 07', '2', '2'], ['Jahn Regensburg', '1. FC Kaiserslautern', '0', '0'], ['Preußen Münster', 'FC Schalke 04', '1', '2'], ['Hannover 96', '1. FC Nürnberg', '2', '0'], ['Hertha BSC', 'SV Elversberg', '1', '4'], ['1. FC Köln', 'Karlsruher SC', '4', '4']]"
8,"[['Karlsruher SC', 'SV Darmstadt 98', '3', '3'], ['SC Paderborn 07', 'Jahn Regensburg', '3', '0'], ['1. FC Köln', 'SSV Ulm 1846 Fußball', '2', '0'], ['SV Elversberg', '1. FC Kaiserslautern', '1', '0'], ['1. FC Nürnberg', 'Preußen Münster', '3', '2'], ['FC Schalke 04', 'Hertha BSC', '2', '2'], ['Fortuna Düsseldorf', 'Hamburger SV', '0', '3'], ['1. FC Magdeburg', 'SpVgg Greuther Fürth', '2', '2'], ['Eintracht Braunschweig', 'Hannover 96', '2', '0']]"
9,"[['SV Darmstadt 98', '1. FC Köln', '5', '1'], ['Hertha BSC', 'Eintracht Braunschweig', '3', '1'], ['Hannover 96', 'FC Schalke 04', '1', '0'], ['Preußen Münster', 'SV Elversberg', '1', '1'], ['Jahn Regensburg', 'Fortuna Düsseldorf', '0', '3'], ['1. FC Kaiserslautern', 'SC Paderborn 07', '3', '0'], ['Hamburger SV', '1. FC Magdeburg', '3', '1'], ['SpVgg Greuther Fürth', '1. FC Nürnberg', '0', '4'], ['SSV Ulm 1846 Fußball', 'Karlsruher SC', '0', '1']]"
10,"[['1. FC Köln', 'SC Paderborn 07', '1', '2'], ['1. FC Nürnberg', 'Jahn Regensburg', '8', '3'], ['Karlsruher SC', 'Hertha BSC', '1', '3'], ['FC Schalke 04', 'SpVgg Greuther Fürth', '3', '4'], ['SV Elversberg', 'Hamburger SV', '4', '2'], ['Fortuna Düsseldorf', '1. FC Kaiserslautern', '3', '4'], ['SV Darmstadt 98', 'SSV Ulm 1846 Fußball', '1', '1'], ['1. FC Magdeburg', 'Hannover 96', '0', '3'], ['Eintracht Braunschweig', 'Preußen Münster', '1', '1']]"
11,"[['SSV Ulm 1846 Fußball', 'FC Schalke 04', '0', '0'], ['Preußen Münster', 'Fortuna Düsseldorf', '1', '0'], ['Hannover 96', 'Karlsruher SC', '2', '1'], ['SpVgg Greuther Fürth', 'SV Darmstadt 98', '1', '5'], ['Jahn Regensburg', 'SV Elversberg', '1', '0'], ['Hertha BSC', '1. FC Köln', '0', '1'], ['Hamburger SV', '1. FC Nürnberg', '1', '1'], ['SC Paderborn 07', 'Eintracht Braunschweig', '0', '0'], ['1. FC Kaiserslautern', '1. FC Magdeburg', '2', '2']]"
