Platz,Team,Spiele,Siege,Unentschieden,Niederlagen,Tore,Differenz,Punkte
1,1. FC Köln,30,16,6,8,46:35,11,54
2,Hamburger SV,30,14,11,5,65:38,27,53
3,1. FC Magdeburg,30,13,10,7,58:42,16,49
4,SV Elversberg,30,13,9,8,55:34,21,48
5,SC Paderborn 07,30,13,9,8,51:41,10,48
6,Fortuna Düsseldorf,30,13,9,8,48:43,5,48
7,1. FC Kaiserslautern,30,13,7,10,50:47,3,46
8,1. FC Nürnberg,30,13,5,12,51:48,3,44
9,Karlsruher SC,30,12,8,10,48:50,-2,44
10,Hannover 96,30,11,10,9,36:33,3,43
11,Hertha BSC,30,11,6,13,46:47,-1,39
12,SV Darmstadt 98,30,10,8,12,51:47,4,38
13,FC Schalke 04,30,10,8,12,50:54,-4,38
14,SpVgg Greuther Fürth,30,9,8,13,41:54,-13,35
15,Eintracht Braunschweig,30,8,9,13,34:54,-20,33
16,Preußen Münster,30,6,10,14,30:40,-10,28
17,SSV Ulm 1846 Fußball,30,5,11,14,31:38,-7,26
18,Jahn Regensburg,30,6,4,20,18:64,-46,22
